nombre,poblacion,superficie,continente
Argentina,45376764,2780401,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
Canadá,38010000,9984670,América
India,1393409038,3287263,Asia
Australia,25900000,7692024,Oceanía
Francia,67413000,551695,Europa
México,128900000,1964375,América
Italia,60360000,301340,Europa
Egipto,104000000,1002450,África
Sudáfrica,60410000,1219090,África
China,1411778724,9596961,Asia
Chile,19490000,756102,América
España,47420000,505990,Europa
Rusia,146171015,17098242,Europa/Asia
Reino Unido,67820000,243610,Europa
Colombia,51800000,1141748,América
Arabia Saudita,35950000,2149690,Asia
Corea del Sur,51780000,100210,Asia
eslovaquia,12345,12345,america
pakistan,1234567,123345656,asia
